Altium Designer Pick and Place Locations
D:\Projets\MTDistribution\BreadMachine II\HW\Project Outputs\Folder Structure\Pick Place\Pick Place for breadMachine_II.txt
P2         "MOLEX 022112092"   TopLayer HDR1X9             7290.000      4386.000      90       "CONN HEADER 9POS .100 VERT GOLD"                                                                                                                        
Y1         12MHZ               TopLayer HC49SD             5370.389      1701.966      270      "QUARTZ 12MHZ"                                                                                                                                           
U1         GSM2                TopLayer GSM2               2710.000      5920.000      0        "GSM2 CLICK"                                                                                                                                             
D22        BZX84C8V2           TopLayer SOT23              3300.000      2110.000      0        "DIODE ZENER 8.2V 225MW SOT23-3"                                                                                                                         
U8         "OPTO TRIAC"        TopLayer SMD_DIP_6          1732.579      5270.098      0        "OPTO TRIAC WITH ZERO CROSSING DETECTOR"                                                                                                                 
U7         "OPTO TRIAC"        TopLayer SMD_DIP_6          972.579       5270.098      0        "OPTO TRIAC WITH ZERO CROSSING DETECTOR"                                                                                                                 
C25        100nF               TopLayer C_0805(2012)X0.65  5200.000      2550.000      135      Capacitor                                                                                                                                                
D17        BAT54S              TopLayer SOT23              4490.000      5020.000      270      "Schottky Barrier Double Diode"                                                                                                                          
C21        10µF                TopLayer C_0805(2012)X0.65  3780.000      3160.630      90       "Capacitor non polarized 10µF SMD 0805"                                                                                                                  
R165       1K                  TopLayer R_0805(2012)       2690.000      4250.000      180      "Resistor SMD 0805 1K"                                                                                                                                   
R164       4.7K                TopLayer R_0805(2012)       4970.000      500.000       270      "Resistor SMD 0805 4.7K"                                                                                                                                 
R163       10K                 TopLayer R_0805(2012)       3335.000      2285.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
Q47        NTD20P06L           TopLayer DPACK-3            3616.062      2155.000      270      "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
U6         LM2675M-ADJ         TopLayer SOIC8              2950.000      1590.000      90       "SIMPLE SWITCHER® Power Converter High Efficiency 1A Step-Down Voltage Regulator, 8-pin Narrow SOIC"                                                     
U5         "LM1117 ADJ"        TopLayer SOT223             2751.250      490.000       90       "800mA Adjustable low-Dropout Linear Regulator, 3-pin TO-252"                                                                                            
U4         24C64               TopLayer SOIC8              5900.000      2580.000      360      "EEPROM 512K I2C"                                                                                                                                        
U3         PIC32MX470F512      TopLayer TQFP100PF          4960.000      3030.000      315      "High Performance 80 MHz MIPS-Based 32-Bit Flash Microcontroller with USB, CAN and Ethernet, 512KB Program Memory, 100-pin TQFP, Industrial Temperature" 
U2         MCP2200-I/SO        TopLayer SOIC-SO20_N        5850.000      1630.000      180      "USB 2.0 to UART Protocol Converter with GPIO"                                                                                                           
TP2        "TEST PIN"          TopLayer tp                 5200.000      270.000       0        "Point de test 12"                                                                                                                                       
TP1        "TEST PIN"          TopLayer tp                 5040.000      270.000       0        "Point de test 12/485"                                                                                                                                   
S4         SW-PB               TopLayer EVQQ2Y03W          3380.000      4650.000      270      Switch                                                                                                                                                   
S3         SW-PB               TopLayer EVQQ2Y03W          3740.000      4650.000      270      Switch                                                                                                                                                   
S2         SW-PB               TopLayer EVQQ2Y03W          4100.000      4650.000      270      Switch                                                                                                                                                   
S1         SW-PB               TopLayer EVQQ2Y03W          4460.000      4650.000      270      Switch                                                                                                                                                   
R162       56K                 TopLayer R_0805(2012)       1710.000      4860.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R161       1K                  TopLayer R_0805(2012)       1710.000      4790.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R160       150                 TopLayer R_0805(2012)       1370.000      5680.000      270      "Resistor SMD 0805 150"                                                                                                                                  
R159       330                 TopLayer R_0805(2012)       1780.000      5520.000      360      "Resistor SMD 0805 330"                                                                                                                                  
R158       330                 TopLayer R_0805(2012)       1330.000      5820.000      180      "Resistor SMD 0805 330"                                                                                                                                  
R157       82                  TopLayer R_0805(2012)       1430.000      5430.000      180      "Resistor SMD 0805 82"                                                                                                                                   
R41        4.7K                TopLayer R_0805(2012)       1365.000      4800.000      180      "Resistor SMD 0805 4.7K"                                                                                                                                 
R155       56K                 TopLayer R_0805(2012)       960.000       4860.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R154       1K                  TopLayer R_0805(2012)       960.000       4790.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R153       150                 TopLayer R_0805(2012)       580.000       5680.000      270      "Resistor SMD 0805 150"                                                                                                                                  
R152       330                 TopLayer R_0805(2012)       1030.000      5520.000      360      "Resistor SMD 0805 330"                                                                                                                                  
R151       330                 TopLayer R_0805(2012)       540.000       5820.000      360      "Resistor SMD 0805 330"                                                                                                                                  
R150       82                  TopLayer R_0805(2012)       660.000       5430.000      180      "Resistor SMD 0805 82"                                                                                                                                   
R149       0R                  TopLayer R_0805(2012)       7120.000      3370.000      270      "Resistor or Jumper"                                                                                                                                     
R148       0R                  TopLayer R_0805(2012)       6570.000      3370.000      270      "Resistor or Jumper"                                                                                                                                     
R147       0R                  TopLayer R_0805(2012)       7080.000      3690.000      360      "Resistor or Jumper"                                                                                                                                     
R146       0R                  TopLayer R_0805(2012)       6550.000      3690.000      360      "Resistor or Jumper"                                                                                                                                     
R145       56K                 TopLayer R_0805(2012)       6970.000      3520.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R144       56K                 TopLayer R_0805(2012)       6420.000      3520.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R143       0R                  TopLayer R_0805(2012)       6980.000      3060.000      360      "Resistor or Jumper"                                                                                                                                     
R142       0R                  TopLayer R_0805(2012)       7120.000      2640.000      270      "Resistor or Jumper"                                                                                                                                     
R141       0R                  TopLayer R_0805(2012)       6570.000      2640.000      270      "Resistor or Jumper"                                                                                                                                     
R140       0R                  TopLayer R_0805(2012)       7080.000      2960.000      360      "Resistor or Jumper"                                                                                                                                     
R139       0R                  TopLayer R_0805(2012)       6530.000      2960.000      360      "Resistor or Jumper"                                                                                                                                     
R138       56K                 TopLayer R_0805(2012)       6970.000      2790.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R137       56K                 TopLayer R_0805(2012)       6420.000      2790.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R136       0R                  TopLayer R_0805(2012)       6950.000      2440.000      360      "Resistor or Jumper"                                                                                                                                     
R135       0R                  TopLayer R_0805(2012)       6570.000      2000.000      270      "Resistor or Jumper"                                                                                                                                     
R134       0R                  TopLayer R_0805(2012)       7120.000      2000.000      270      "Resistor or Jumper"                                                                                                                                     
R133       0R                  TopLayer R_0805(2012)       6540.000      2320.000      360      "Resistor or Jumper"                                                                                                                                     
R132       0R                  TopLayer R_0805(2012)       7080.000      2320.000      360      "Resistor or Jumper"                                                                                                                                     
R131       56K                 TopLayer R_0805(2012)       6420.000      2150.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R130       56K                 TopLayer R_0805(2012)       6970.000      2150.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R129       0R                  TopLayer R_0805(2012)       6910.000      1850.000      360      "Resistor or Jumper"                                                                                                                                     
R128       56K                 TopLayer R_0805(2012)       6075.000      5850.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R127       56K                 TopLayer R_0805(2012)       5890.000      5680.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R126       1K                  TopLayer R_0805(2012)       5890.000      5600.000      180      "Resistor SMD 0805 1K"                                                                                                                                   
R125       "1R  2W"            TopLayer R_2512(6432)       1330.000      3522.953      270      "Resistor SMD 2512 1R 2W"                                                                                                                                
R124       10K                 TopLayer R_0805(2012)       2700.000      3620.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R123       10K                 TopLayer R_0805(2012)       2490.000      3730.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R122       56K                 TopLayer R_0805(2012)       1700.000      3940.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R121       10K                 TopLayer R_0805(2012)       2700.000      3490.000      180      "Resistor SMD 0805 10K"                                                                                                                                  
R120       10K                 TopLayer R_0805(2012)       2570.000      3730.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R119       56K                 TopLayer R_0805(2012)       2810.000      3725.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R118       56K                 TopLayer R_0805(2012)       2380.000      3480.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R117       1K                  TopLayer R_0805(2012)       1700.000      3870.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R116       10K                 TopLayer R_0805(2012)       1810.000      4050.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R115       1K                  TopLayer R_0805(2012)       2970.000      3820.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R114       1K                  TopLayer R_0805(2012)       2380.000      3830.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R113       10K                 TopLayer R_0805(2012)       2960.000      3590.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R112       10K                 TopLayer R_0805(2012)       2490.000      3590.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R111       10K                 TopLayer R_0805(2012)       1880.000      4050.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R110       10K                 TopLayer R_0805(2012)       2960.000      3450.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R109       10K                 TopLayer R_0805(2012)       2570.000      3590.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R108       56K                 TopLayer R_0805(2012)       1680.000      2560.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R107       1K                  TopLayer R_0805(2012)       1680.000      2480.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R106       10K                 TopLayer R_0805(2012)       1800.000      2670.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R105       "1R  2W"            TopLayer R_2512(6432)       1330.000      2215.000      270      "Resistor SMD 2512 1R 2W"                                                                                                                                
R104       10K                 TopLayer R_0805(2012)       2690.000      3010.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R103       10K                 TopLayer R_0805(2012)       2490.000      3110.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R102       10K                 TopLayer R_0805(2012)       1870.000      2670.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R101       10K                 TopLayer R_0805(2012)       2690.000      2890.000      180      "Resistor SMD 0805 10K"                                                                                                                                  
R100       10K                 TopLayer R_0805(2012)       2570.000      3110.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R99        56K                 TopLayer R_0805(2012)       2790.000      3120.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R98        56K                 TopLayer R_0805(2012)       2380.000      2870.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R97        56K                 TopLayer R_0805(2012)       1690.000      1260.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R96        1K                  TopLayer R_0805(2012)       2910.000      3220.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R95        1K                  TopLayer R_0805(2012)       2380.000      3230.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R94        1K                  TopLayer R_0805(2012)       1690.000      1190.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R93        10K                 TopLayer R_0805(2012)       1800.000      1380.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R92        10K                 TopLayer R_0805(2012)       2950.000      2990.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R91        10K                 TopLayer R_0805(2012)       2490.000      2980.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R90        10K                 TopLayer R_0805(2012)       2950.000      2850.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R89        10K                 TopLayer R_0805(2012)       2570.000      2980.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R88        10K                 TopLayer R_0805(2012)       1880.000      1380.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R87        56K                 TopLayer R_0805(2012)       900.000       4290.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R86        1K                  TopLayer R_0805(2012)       970.000       4290.000      90       "Resistor SMD 0805 1K"                                                                                                                                   
R85        "1R  2W"            TopLayer R_2512(6432)       1350.000      850.000       270      "Resistor SMD 2512 1R 2W"                                                                                                                                
R84        10K                 TopLayer R_0805(2012)       790.000       4390.000      180      "Resistor SMD 0805 10K"                                                                                                                                  
R83        10K                 TopLayer R_0805(2012)       2690.000      2410.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R82        10K                 TopLayer R_0805(2012)       2490.000      2530.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R81        56K                 TopLayer R_0805(2012)       790.000       4540.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R80        10K                 TopLayer R_0805(2012)       750.000       4150.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R79        1K                  TopLayer R_0805(2012)       790.000       4470.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R78        10K                 TopLayer R_0805(2012)       2690.000      2290.000      180      "Resistor SMD 0805 10K"                                                                                                                                  
R77        10K                 TopLayer R_0805(2012)       2570.000      2530.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R76        56K                 TopLayer R_0805(2012)       2790.000      2520.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R75        56K                 TopLayer R_0805(2012)       2380.000      2270.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R74        10K                 TopLayer R_0805(2012)       790.000       4620.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R73        1K                  TopLayer R_0805(2012)       2910.000      2620.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R72        1K                  TopLayer R_0805(2012)       2380.000      2640.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R71        10K                 TopLayer R_0805(2012)       790.000       4690.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R70        10K                 TopLayer R_0805(2012)       2950.000      2390.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R69        10K                 TopLayer R_0805(2012)       2490.000      2380.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R68        10K                 TopLayer R_0805(2012)       2950.000      2240.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R67        10K                 TopLayer R_0805(2012)       2570.000      2380.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R66        150                 TopLayer R_0805(2012)       5350.000      490.000       270      "Resistor SMD 0805 150"                                                                                                                                  
R65        330                 TopLayer R_0805(2012)       5200.000      490.000       270      "Resistor SMD 0805 330"                                                                                                                                  
R64        4.7K                TopLayer R_0805(2012)       5040.000      500.000       270      "Resistor SMD 0805 4.7K"                                                                                                                                 
R63        1.5K                TopLayer R_0805(2012)       3065.000      365.000       90       "Resistor SMD 0805 1.5K"                                                                                                                                 
R62        10K                 TopLayer R_0805(2012)       3070.000      1370.000      180      "Resistor SMD 0805 10K"                                                                                                                                  
R61        1K                  TopLayer R_0805(2012)       3065.000      515.000       90       "Resistor SMD 0805 1K"                                                                                                                                   
R60        3.3K                TopLayer R_0805(2012)       2910.000      1365.000      360      "Resistor SMD 0805 3.3K"                                                                                                                                 
R59        56K                 TopLayer R_0805(2012)       2965.000      1945.000      360      "Resistor SMD 0805 56K"                                                                                                                                  
R58        2.2K                TopLayer R_0805(2012)       5875.000      2800.000      90       "Resistor SMD 0805 2.2K"                                                                                                                                 
R57        2.2K                TopLayer R_0805(2012)       5950.000      2800.000      90       "Resistor SMD 0805 2.2K"                                                                                                                                 
R56        56K                 TopLayer R_0805(2012)       4030.000      3830.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R55        1K                  TopLayer R_0805(2012)       4030.000      3750.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R54        330                 TopLayer R_0805(2012)       4030.000      4090.000      90       "Resistor SMD 0805 330"                                                                                                                                  
R53        10K                 TopLayer R_0805(2012)       3300.000      4940.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R52        10K                 TopLayer R_0805(2012)       3660.000      4940.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R51        56K                 TopLayer R_0805(2012)       3870.000      3830.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R50        1K                  TopLayer R_0805(2012)       3870.000      3750.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R49        330                 TopLayer R_0805(2012)       3870.000      4090.000      90       "Resistor SMD 0805 330"                                                                                                                                  
R48        1K                  TopLayer R_0805(2012)       3820.000      2970.000      360      "Resistor SMD 0805 1K"                                                                                                                                   
R47        10K                 TopLayer R_0805(2012)       4020.000      4940.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R46        10K                 TopLayer R_0805(2012)       3820.000      3040.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R45        56K                 TopLayer R_0805(2012)       2690.000      4340.000      180      "Resistor SMD 0805 56K"                                                                                                                                  
R44        10K                 TopLayer R_0805(2012)       5284.370      5405.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R43        10K                 TopLayer R_0805(2012)       5285.714      5325.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R42        10K                 TopLayer R_0805(2012)       5285.000      5245.000      360      "Resistor SMD 0805 10K"                                                                                                                                  
R40        10K                 TopLayer R_0805(2012)       4380.000      4950.000      90       "Resistor SMD 0805 10K"                                                                                                                                  
R39        0R                  TopLayer R_0805(2012)       6950.000      1460.000      180      "Resistor or Jumper"                                                                                                                                     
R38        470                 TopLayer R_0805(2012)       5890.000      1290.000      180      "Resistor SMD 0805 470"                                                                                                                                  
R37        10K                 TopLayer R_0805(2012)       5850.000      1180.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R36        10K                 TopLayer R_0805(2012)       6855.000      5775.000      270      "Resistor SMD 0805 10K"                                                                                                                                  
R35        1K                  TopLayer R_0805(2012)       7120.000      5809.370      270      "Resistor SMD 0805 1K"                                                                                                                                   
R34        1K                  TopLayer R_0805(2012)       6390.000      5780.000      270      "Resistor SMD 0805 1K"                                                                                                                                   
R33        56K                 TopLayer R_0805(2012)       6490.000      5779.370      270      "Resistor SMD 0805 56K"                                                                                                                                  
R32        56K                 TopLayer R_0805(2012)       6000.000      3970.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R31        56K                 TopLayer R_0805(2012)       6000.000      4180.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R30        56K                 TopLayer R_0805(2012)       6000.000      4380.000      90       "Resistor SMD 0805 56K"                                                                                                                                  
R29        1K                  TopLayer R_0805(2012)       5920.000      3970.000      270      "Resistor SMD 0805 1K"                                                                                                                                   
R28        1K                  TopLayer R_0805(2012)       5920.000      4180.000      270      "Resistor SMD 0805 1K"                                                                                                                                   
R27        1K                  TopLayer R_0805(2012)       5920.000      4380.000      270      "Resistor SMD 0805 1K"                                                                                                                                   
R26        1K                  TopLayer R_0805(2012)       5770.000      4650.000      180      "Resistor SMD 0805 1K"                                                                                                                                   
R25        1K                  TopLayer R_0805(2012)       5770.000      4840.000      180      "Resistor SMD 0805 1K"                                                                                                                                   
R24        1K                  TopLayer R_0805(2012)       5770.000      5040.000      180      "Resistor SMD 0805 1K"                                                                                                                                   
R23        56K                 TopLayer R_0805(2012)       5950.000      4690.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R22        56K                 TopLayer R_0805(2012)       5950.000      4880.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R21        56K                 TopLayer R_0805(2012)       5950.000      5080.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R20        56K                 TopLayer R_0805(2012)       6710.000      3960.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R19        56K                 TopLayer R_0805(2012)       6700.000      4150.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R18        56K                 TopLayer R_0805(2012)       6700.000      4340.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R17        56K                 TopLayer R_0805(2012)       6700.000      4520.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R16        56K                 TopLayer R_0805(2012)       6700.000      4700.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R15        56K                 TopLayer R_0805(2012)       6700.000      4880.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R14        56K                 TopLayer R_0805(2012)       6700.000      5060.000      270      "Resistor SMD 0805 56K"                                                                                                                                  
R13        0R                  TopLayer R_0805(2012)       4695.000      5680.000      360      "Resistor or Jumper"                                                                                                                                     
R12        0R                  TopLayer R_0805(2012)       4695.000      5890.000      360      "Resistor or Jumper"                                                                                                                                     
R11        0R                  TopLayer R_0805(2012)       4695.000      5750.000      360      "Resistor or Jumper"                                                                                                                                     
R10        0R                  TopLayer R_0805(2012)       4694.726      5820.000      360      "Resistor or Jumper"                                                                                                                                     
R9         0R                  TopLayer R_0805(2012)       3945.987      5984.605      180      "Resistor or Jumper"                                                                                                                                     
R8         0R                  TopLayer R_0805(2012)       3945.987      5914.605      180      "Resistor or Jumper"                                                                                                                                     
Q46        2N7002              TopLayer SOT-23             1710.000      4980.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q45        Triac               TopLayer DPACK-3            1636.062      5730.000      270      "Silicon Bidirectional Triode Thyristor"                                                                                                                 
Q44        2N7002              TopLayer SOT-23             960.000       4990.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q43        Triac               TopLayer DPACK-3            866.062       5730.000      270      "Silicon Bidirectional Triode Thyristor"                                                                                                                 
Q42        2N7002              TopLayer SOT-23             5888.028      5791.375      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q41        2N7002              TopLayer SOT-23             2380.000      3730.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q40        2N7002              TopLayer SOT-23             2695.000      3730.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q39        IRLR120NPBF         TopLayer DPACK-3            1696.062      3490.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q38        IRLR120NPBF         TopLayer DPACK-3            973.938       3310.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q37        2N7002              TopLayer SOT-23             1710.000      4050.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q36        2N7002              TopLayer SOT-23             2380.000      3590.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q35        IRLR120NPBF         TopLayer DPACK-3            973.938       3600.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q34        2N7002              TopLayer SOT-23             2919.667      3722.633      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q33        NTD20P06L           TopLayer DPACK-3            973.938       3010.000      90       "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q31        2N7002              TopLayer SOT-23             1680.000      2670.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q30        IRLR120NPBF         TopLayer DPACK-3            973.938       2310.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q29        2N7002              TopLayer SOT-23             2380.000      3120.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q28        2N7002              TopLayer SOT-23             2690.000      3120.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q27        IRLR120NPBF         TopLayer DPACK-3            1697.954      2185.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q26        IRLR120NPBF         TopLayer DPACK-3            973.938       2010.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q25        2N7002              TopLayer SOT-23             1690.000      1380.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q24        2N7002              TopLayer SOT-23             2380.000      2980.000      0        "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q23        2N7002              TopLayer SOT-23             2910.000      3120.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q22        IRLR120NPBF         TopLayer DPACK-3            963.938       950.000       90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q21        NTD20P06L           TopLayer DPACK-3            973.938       1710.000      90       "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q20        NTD20P06L           TopLayer DPACK-3            1697.954      1810.000      270      "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q19        2N7002              TopLayer SOT-23             790.000       4290.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q18        IRLR120NPBF         TopLayer DPACK-3            353.938       4270.000      90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q17        2N7002              TopLayer SOT-23             2380.000      2530.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
